x,y,labels,antivax
3.3078518,2.1647282,4,0
2.6882594,4.241541,4,0
17.79927,8.011765,3,0
18.318798,9.222662,3,0
6.4982314,12.9305,4,1
5.746103,4.657727,4,0
4.4415965,3.8851259,4,1
18.28853,9.091704,3,0
17.340237,10.189352,3,0
5.688382,11.536775,4,0
4.7704554,0.93370825,4,0
6.427587,4.489453,4,0
6.3647504,11.964075,4,0
7.4255147,3.2732124,4,0
5.663817,3.3395717,4,0
16.36363,9.811413,3,0
4.3228793,3.9005942,4,0
3.0633569,5.2782807,4,0
3.119296,1.4301848,4,0
17.649715,10.570933,3,1
4.267236,3.939514,4,0
7.0067477,1.4669013,4,0
6.901411,1.4130812,4,0
17.198128,9.490887,3,0
17.439621,8.209161,3,1
5.4777856,2.5571914,4,0
3.0831704,1.617614,4,0
16.23153,6.2514153,3,0
5.9172773,4.429068,4,1
17.683617,10.103664,3,1
4.3415036,3.6760137,4,1
4.840119,5.235813,4,0
16.252974,9.03151,3,0
2.9516513,5.336218,4,1
16.552591,7.3742332,3,1
15.846086,5.9315963,3,0
3.8921454,3.8464248,4,0
17.218851,9.494884,3,0
5.3806806,5.8096967,4,0
4.2585588,3.996392,4,1
5.1478367,5.7284813,4,1
16.215815,6.491309,3,0
4.09653,3.5877852,4,0
3.4909713,1.2890611,4,0
2.9020064,5.050183,4,0
7.363248,3.2997956,4,0
5.6362524,1.0342798,4,0
15.478972,5.218657,3,0
4.894167,5.8311863,4,0
17.818686,8.170054,3,0
16.43619,7.4072504,3,1
6.3962693,4.062608,4,0
4.895139,3.708045,4,0
6.8689857,4.027286,4,0
6.5202127,12.543409,4,1
16.36416,7.9090886,3,0
5.011828,4.2079105,4,1
5.8560195,3.0490756,4,0
4.5157146,1.104269,4,0
7.4910274,1.7630599,4,0
4.109656,1.0712694,4,0
6.5672693,12.293953,4,0
6.020685,4.595759,4,0
5.5309014,2.0266826,4,1
3.1421523,1.4168593,4,1
14.632426,4.498155,3,0
17.835434,7.294815,3,0
16.402767,10.385159,3,0
4.9012504,5.3272195,4,0
4.480946,2.3338037,4,0
16.964338,9.809528,3,0
2.5795286,1.9951364,4,0
5.1995955,2.7128646,4,0
17.521168,8.434269,3,0
16.271051,6.4391036,3,0
5.5821495,3.5647998,4,0
17.529547,10.216939,3,0
16.426905,7.643725,3,0
4.7723627,4.1700325,4,0
15.742139,5.8489013,3,0
16.050968,6.930882,3,1
5.508054,5.9349885,4,0
15.7571535,5.824745,3,0
18.223415,9.052301,3,0
3.4861836,1.7312566,4,0
3.4235847,5.371772,4,0
6.8677096,1.3028449,4,0
16.280006,9.017424,3,0
17.359861,8.017867,3,0
3.4987383,1.6817106,4,0
